               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.030612,            0.023524,                   0,                   1,             0.88888,             0.96009,             0.73155,            0.015465,           0.0036724,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.031159,            0.022301,                   0,                   1,             0.92705,             0.97685,             0.76134,             0.01411,           0.0038422,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.029822,            0.021119,                   0,              0.9903,             0.92857,             0.97937,             0.78259,            0.013616,           0.0035243,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.028564,            0.022773,                   0,             0.99004,             0.85714,             0.94066,             0.69831,             0.01918,           0.0033743,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.025848,            0.021697,                   0,                   1,             0.89073,             0.94995,               0.782,            0.013192,           0.0033398,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.028771,            0.021539,                   0,                   1,              0.8892,             0.96233,             0.78343,            0.014438,           0.0033042,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.02785,            0.020895,                   0,             0.99668,             0.85714,             0.95989,             0.79518,            0.015439,             0.00345,                   0,            0.005743,            0.005743,            0.005743
                  45,             0.02666,            0.021656,                   0,             0.92151,             0.96429,             0.96241,             0.72737,            0.016491,            0.003684,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.027735,            0.023053,                   0,             0.93102,             0.96404,             0.97271,              0.7819,            0.012004,           0.0035191,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.030434,            0.022036,                   0,             0.91997,             0.92857,             0.96839,             0.80299,            0.012088,           0.0039168,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025902,            0.021758,                   0,             0.98756,             0.85714,             0.95452,             0.76098,            0.012282,           0.0035881,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.026678,             0.02135,                   0,             0.99379,             0.85714,             0.96181,             0.81556,            0.012032,           0.0032098,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.024066,            0.021469,                   0,             0.89038,             0.96429,             0.95963,             0.81733,            0.011244,           0.0031508,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.026589,            0.021036,                   0,                   1,             0.92494,             0.95777,             0.72967,            0.014118,           0.0031596,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.027083,            0.020384,                   0,                   1,             0.92816,             0.96784,             0.77143,            0.012545,           0.0030535,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.025568,            0.019618,                   0,                   1,              0.9214,             0.96344,             0.76725,            0.014673,           0.0033376,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.027667,            0.020454,                   0,              0.9653,             0.99357,             0.99397,             0.75108,            0.011985,           0.0029874,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.027617,            0.019784,                   0,             0.99974,                   1,               0.995,              0.8053,            0.010126,           0.0028766,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.027539,            0.020716,                   0,                   1,             0.98608,               0.995,             0.73057,            0.013043,           0.0031378,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.026992,            0.020398,                   0,                   1,             0.95729,               0.993,             0.74868,            0.013756,           0.0030303,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.025512,            0.019922,                   0,             0.99059,             0.96429,             0.99125,             0.76059,             0.01147,           0.0030694,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.029066,            0.019186,                   0,             0.96327,             0.96429,             0.98795,             0.80004,            0.010669,           0.0032299,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.024371,            0.020756,                   0,             0.96283,              0.9252,             0.98298,             0.81674,           0.0095516,           0.0030955,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.026328,            0.019889,                   0,             0.96279,             0.92424,             0.97715,             0.79133,            0.011665,           0.0033373,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.026489,            0.020338,                   0,             0.96364,             0.94696,             0.96796,             0.80483,            0.011607,           0.0031744,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.026656,            0.021677,                   0,             0.95894,             0.96429,              0.9844,             0.80814,            0.010033,           0.0032028,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.024065,            0.019896,                   0,             0.96415,             0.96054,             0.99067,             0.74835,            0.014864,           0.0031926,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02321,            0.020696,                   0,              0.9922,             0.96429,             0.99397,             0.84843,            0.010387,           0.0029315,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.026005,            0.019059,                   0,                   1,             0.99648,               0.995,             0.83592,            0.010166,           0.0031534,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.023661,            0.019664,                   0,              0.9921,                   1,               0.995,             0.75673,            0.011837,           0.0034835,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.026961,            0.021134,                   0,             0.99241,                   1,               0.995,             0.83993,            0.010531,           0.0032623,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.024372,              0.0205,                   0,             0.95835,                   1,             0.99259,             0.83446,            0.010309,           0.0030876,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.022964,             0.01917,                   0,             0.95985,                   1,             0.99259,             0.76673,             0.01073,           0.0030394,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.027296,            0.020362,                   0,             0.96525,             0.99228,             0.99017,             0.80104,           0.0091628,           0.0029004,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.022655,             0.01875,                   0,             0.96139,             0.96429,             0.96325,             0.75733,            0.011054,            0.003175,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.021535,            0.019404,                   0,             0.96454,                   1,             0.99017,             0.78383,            0.010858,           0.0031094,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.023419,             0.01839,                   0,                   1,             0.99872,               0.995,             0.73423,            0.011817,           0.0031745,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.022612,            0.018873,                   0,             0.99702,             0.92857,             0.96599,             0.73493,            0.011953,           0.0030779,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.024615,            0.019675,                   0,             0.99756,             0.92857,             0.97434,              0.7971,           0.0096805,           0.0028797,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.021417,            0.018039,                   0,                   1,             0.96038,             0.96691,             0.75119,            0.010881,           0.0028877,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.02411,            0.018724,                   0,             0.99641,             0.96429,             0.96675,             0.77553,            0.010395,           0.0028541,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.02203,            0.017227,                   0,             0.99661,             0.92857,             0.95543,             0.76087,            0.010922,           0.0028006,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.021315,            0.018105,                   0,             0.99637,             0.92857,             0.96478,             0.79916,            0.010714,           0.0026362,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.021355,            0.017835,                   0,             0.96416,              0.9608,             0.97069,             0.82655,           0.0093507,           0.0027265,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.021395,            0.019845,                   0,             0.96416,             0.96101,             0.98578,             0.82051,           0.0089541,           0.0027812,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.020081,            0.018018,                   0,             0.96412,             0.95968,             0.98261,             0.82334,           0.0093305,           0.0028258,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.022027,            0.018101,                   0,             0.96421,             0.96224,             0.97132,             0.81272,           0.0092152,           0.0028556,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.021009,             0.01702,                   0,             0.96068,             0.96429,              0.9905,             0.83149,           0.0088592,           0.0027068,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.021294,            0.016669,                   0,             0.99255,             0.96429,             0.97792,             0.82607,           0.0097643,           0.0026869,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.023033,            0.018163,                   0,               0.995,             0.96429,             0.97773,             0.81641,           0.0089891,           0.0026466,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.021654,             0.01859,                   0,             0.99693,             0.96429,             0.96791,             0.81726,           0.0090163,           0.0026992,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.020826,              0.0177,                   0,               0.998,             0.96429,             0.96822,             0.81375,           0.0091642,           0.0025905,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.021907,            0.018095,                   0,             0.99903,             0.96429,             0.99397,             0.81213,           0.0090377,           0.0025872,                   0,            0.001189,            0.001189,            0.001189
                  91,              0.0238,            0.017776,                   0,             0.99908,             0.96429,             0.99397,             0.80879,           0.0093077,           0.0026444,                   0,             0.00109,             0.00109,             0.00109
                  92,               0.019,            0.017338,                   0,              0.9653,             0.99356,             0.99259,             0.82086,            0.009082,           0.0027137,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.021513,            0.018159,                   0,             0.92677,                   1,             0.99033,             0.81069,           0.0093699,           0.0028378,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.021826,             0.01754,                   0,             0.93326,             0.99882,             0.98922,             0.80637,            0.009119,             0.00284,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.021299,            0.018056,                   0,             0.96413,             0.96014,             0.97063,             0.80059,           0.0092359,           0.0028056,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.019113,            0.017974,                   0,              0.9651,             0.98787,             0.99259,             0.81797,           0.0090725,           0.0027693,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.022212,            0.018546,                   0,             0.95778,                   1,             0.99259,             0.81548,           0.0091944,           0.0027539,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.018934,            0.017915,                   0,             0.96076,                   1,             0.99259,             0.81572,           0.0091746,           0.0027152,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.019419,            0.016374,                   0,             0.95459,                   1,             0.99259,             0.81679,           0.0089805,           0.0026903,                   0,            0.000298,            0.000298,            0.000298
