               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11023,            0.041674,                   0,            0.032374,            0.045455,            0.014416,           0.0033883,            0.060256,            0.022294,                   0,              0.0802,              0.0022,              0.0022
                   1,            0.076893,            0.044228,                   0,             0.27263,             0.39091,             0.27082,            0.067001,            0.038006,            0.021206,                   0,            0.059455,           0.0044554,           0.0044554
                   2,            0.067333,            0.039581,                   0,             0.45335,             0.37273,             0.41323,              0.1635,            0.032879,            0.013084,                   0,            0.038665,           0.0066654,           0.0066654
                   3,             0.06429,            0.037871,                   0,             0.60655,             0.77273,             0.69361,             0.34057,            0.026377,            0.010422,                   0,             0.01783,           0.0088297,           0.0088297
                   4,            0.063422,             0.03535,                   0,              0.6339,             0.66364,             0.65047,             0.25879,            0.036021,           0.0096474,                   0,            0.009604,            0.009604,            0.009604
                   5,            0.056712,            0.033679,                   0,             0.60568,             0.76364,             0.74063,             0.28469,            0.029889,            0.009415,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.052646,            0.031371,                   0,             0.47347,             0.83636,             0.66101,             0.34115,            0.029898,            0.011366,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.050643,            0.030509,                   0,             0.88909,             0.85455,             0.94167,             0.59396,            0.020727,            0.008436,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.046087,            0.030193,                   0,             0.85779,             0.90909,             0.92507,             0.52227,            0.026967,            0.007305,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.044654,            0.028022,                   0,             0.78944,              0.8862,              0.9145,             0.49564,            0.022859,           0.0084367,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.044118,            0.030063,                   0,             0.95893,             0.84917,             0.94719,             0.48204,            0.025073,           0.0082292,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.041285,            0.028374,                   0,             0.94593,             0.98182,             0.98816,             0.61427,            0.020482,            0.007442,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.039046,            0.027602,                   0,             0.93451,             0.97273,             0.97938,             0.69093,            0.017729,           0.0071918,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.040267,            0.027582,                   0,             0.89794,             0.87986,             0.92699,             0.49853,            0.023417,           0.0087606,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.037725,             0.02681,                   0,             0.99007,             0.90609,             0.97078,             0.72424,            0.015681,           0.0069159,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.035848,            0.026359,                   0,             0.93831,             0.91818,             0.97714,             0.70475,            0.019226,           0.0071078,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.034184,            0.025109,                   0,             0.92787,             0.92727,              0.9757,             0.71734,            0.014292,           0.0070497,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.036541,            0.024273,                   0,             0.93031,             0.96364,             0.98225,             0.70527,            0.014772,           0.0065337,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.035656,            0.025264,                   0,             0.93626,             0.97273,             0.98517,             0.75465,            0.014072,           0.0061504,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.035561,            0.023914,                   0,             0.96948,             0.93636,             0.96916,             0.71548,            0.014326,           0.0061805,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.032416,             0.02384,                   0,             0.97144,             0.92769,             0.98232,             0.70395,             0.01821,           0.0058754,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.034371,            0.024405,                   0,             0.95394,             0.94138,             0.97345,              0.6093,            0.018462,           0.0071251,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.033409,             0.02263,                   0,             0.98782,             0.91818,             0.98939,             0.73823,            0.014315,           0.0062247,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.031548,            0.024504,                   0,             0.92476,             0.96364,             0.98483,             0.74774,            0.013418,           0.0062284,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.033104,            0.025112,                   0,             0.93653,             0.95455,             0.97236,             0.65055,            0.017381,            0.006613,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.032708,            0.023708,                   0,             0.94849,             0.93636,             0.95761,             0.73908,            0.013662,           0.0067293,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.031849,            0.024844,                   0,             0.98625,                 0.9,             0.96613,             0.68486,            0.017436,           0.0065026,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.030386,            0.023069,                   0,             0.94516,             0.92727,             0.98244,              0.7187,            0.014918,           0.0065106,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.031085,            0.022869,                   0,              0.9642,             0.89091,              0.9754,             0.65013,            0.016654,           0.0067138,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.031363,            0.022843,                   0,             0.94961,             0.95455,             0.98147,             0.72197,            0.014169,           0.0065052,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.029645,            0.022144,                   0,             0.95119,             0.96364,             0.98725,             0.77364,            0.012413,           0.0062391,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.030066,            0.023008,                   0,             0.90947,             0.91329,             0.95088,             0.73127,            0.014189,           0.0071841,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.030152,            0.022028,                   0,             0.94367,             0.91378,             0.96164,             0.71637,            0.014179,           0.0069315,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.029244,            0.023195,                   0,             0.91432,             0.97273,             0.97794,             0.71135,            0.014731,           0.0066705,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.029135,            0.022754,                   0,             0.96258,              0.9355,             0.98271,             0.73647,            0.013439,           0.0060915,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.027342,            0.022591,                   0,             0.97125,             0.92121,             0.98214,             0.76124,            0.013174,           0.0058059,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.027645,            0.022769,                   0,             0.96672,             0.90909,             0.97773,             0.77283,            0.013603,           0.0061429,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.028374,            0.021982,                   0,             0.96315,             0.95046,             0.98421,             0.70671,             0.01472,           0.0065146,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.027493,            0.022229,                   0,              0.9626,             0.93583,             0.96956,             0.70282,            0.016691,           0.0058742,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.027967,            0.021606,                   0,             0.95661,             0.94545,             0.98117,             0.73386,            0.014382,           0.0062972,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.026797,            0.021875,                   0,             0.96006,             0.92727,             0.97099,             0.76424,            0.013859,            0.006518,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026515,            0.021173,                   0,             0.97717,             0.94545,             0.98822,             0.77213,            0.013676,           0.0060915,                   0,             0.00604,             0.00604,             0.00604
